ID,Timestamp,From MAC,To MAC,A,B,C,D,E,F
5572,2025-12-02 12:01:49,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1481,1487,1706,5,0,OK
5571,2025-12-02 12:01:49,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1423,1538,1826,5,0,OK
5570,2025-12-02 12:01:49,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1335,1402,1683,5,0,OK
5569,2025-12-02 12:01:48,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1432,1865,1590,5,0,OK
5568,2025-12-02 12:01:48,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1061,1575,1444,5,0,OK
5567,2025-12-02 12:01:48,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1153,1458,1693,5,0,OK
5566,2025-12-02 12:01:48,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1587,1546,5,0,OK
5565,2025-12-02 12:01:48,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1589,1543,5,0,OK
5564,2025-12-02 12:01:48,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1589,1545,5,0,OK
5563,2025-12-02 12:01:48,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1202,1596,1545,5,0,OK
5562,2025-12-02 12:01:48,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1591,1546,5,0,OK
5561,2025-12-02 12:01:48,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1202,1603,1545,5,0,OK
5560,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1592,1545,5,0,OK
5559,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1590,1553,5,0,OK
5558,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1592,1542,5,0,OK
5557,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1588,1544,5,0,OK
5556,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1592,1545,5,0,OK
5555,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1591,1546,5,0,OK
5554,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1593,1545,5,0,OK
5553,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1596,1542,5,0,OK
5552,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1589,1542,5,0,OK
5551,2025-12-02 12:01:47,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1593,1543,5,0,OK
5550,2025-12-02 12:01:46,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1595,1548,5,0,OK
5549,2025-12-02 12:01:46,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1596,1542,5,0,OK
5548,2025-12-02 12:01:46,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1596,1545,5,0,OK
5547,2025-12-02 12:01:46,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1592,1542,5,0,OK
5546,2025-12-02 12:01:46,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1589,1549,5,0,OK
5545,2025-12-02 12:01:46,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1591,1555,5,0,OK
5544,2025-12-02 12:01:46,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1199,1592,1548,5,0,OK
5543,2025-12-02 12:01:46,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1597,1540,5,0,OK
5542,2025-12-02 12:01:46,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1594,1544,5,0,OK
5541,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1592,1542,5,0,OK
5540,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1598,1542,5,0,OK
5539,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1596,1547,5,0,OK
5538,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1596,1543,5,0,OK
5537,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1589,1546,5,0,OK
5536,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1593,1547,5,0,OK
5535,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1592,1548,5,0,OK
5534,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1589,1547,5,0,OK
5533,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1592,1545,5,0,OK
5532,2025-12-02 12:01:45,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1595,1547,5,0,OK
5531,2025-12-02 12:01:44,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1203,1588,1540,5,0,OK
